"","names","Probabilities.Blue","Probabilities.Red"
"1","Sandhagen Figueiredo",0.454874312531216,0.545125687468784
"2","RidderNickal",0.132261115210537,0.867738884789463
"3","PonzinibbioRodriguez",0.344722820937546,0.655277179062454
"4","JacksonMarcos",0.566395149046125,0.433604850953875
"5","SmothermanSidey",0.326723133263286,0.673276866736714
"6","StephensJones",0.769829883266754,0.230170116733246
"7","SantosTate",0.383761277871606,0.616238722128394
"8","LoderBekoev",0.371858632345926,0.628141367654074
"9","RodriguezRobertson",0.302668968958497,0.697331031041503
"10","BolanosLe",0.394804351052062,0.605195648947938
"11","PetersenMayes",0.153830546635282,0.846169453364718
"12","MillerPetrović",0.636698844213118,0.363301155786882
